name,format,success
2322459 bmath quiz midterm ave,mmss.SS,TRUE
2322459 Midterm Exam1,yy,TRUE
2322459 Midterm Exam2,yy,TRUE
2322480 Data,ss.SS,TRUE
2322562 Lifetime Total Likes,mmss,TRUE
2322562 Time spent  visits,HH:mm:ss,TRUE
2322597 Month,MMM,TRUE
2322671 rel_date,dd MMM yy,TRUE
2322856 DTP3_Admin,yy,TRUE
2322856 DTP3_Gov,mmss.SS,TRUE
2322915 readtime,MMddyy,TRUE
2325073 campaignmonth,MMMM yyyy,TRUE
"2325771 Estimated first-time degree certificate-seeking undergraduate enrollment, total",yy,TRUE
2331496 review_date,yyyy-MM-dd,TRUE
2336004 Post Message,,FALSE
2337246 Lifetime Post Consumers,yy,TRUE
2337506 Month,yyyyMMM,TRUE
2337706 Semester,,FALSE
2337848 Time Difference (bin),MMyy,TRUE
2337868 n2nd_time,ss.SS,TRUE
2337868 p2nd_time,ss.SS,TRUE
2337977 Lead time (days),dd,TRUE
2337977 Time to import (days),yy,TRUE
2337998 Total Databases Available,yy,TRUE
2338120 Last Month,MM.yy,TRUE
2338166 GEOID_Data,,FALSE
2338384 Hvaerviktigstfordegiforholdtilmatlaging,,FALSE
2338588 Date Number,,FALSE
2338666 Total Cost of Installation to Date,,FALSE
2338804 % Big Data Hardware Revenue,ss.SS,TRUE
2338804 % Big Data Software Revenue,ss.SS,TRUE
2338804 Big Data Revenue,yy,TRUE
2338872 Time of day fatal fires occurred,MMddHH-yyyy,TRUE
2338895 Time,dd,TRUE
2338918 Date of Implementation,Class of yyyy,TRUE
2338931 ResMonth,MM/yyyy,TRUE
2344220 Created Time,yyyy-MM-dd HH:mm:ss,TRUE
2344964 Ã_Â‰ÂŒ_Ã_Â€ÂŒ_Ã_Â€ÂŒ_Ã_Â‰ÂŒ_Ã_Â‰ÂŒÃˆÃ_Â‰ÂŒÂ¢Ã_Â‰ÂŒ_Ã_Â€ÂŒÃ¯Ã_Â‰ÂŒÃ‡,yyyyMMdd,TRUE
2345061 Month,MMMM,TRUE
2345139 Date Founded,MM/dd/yyyy,TRUE
2345521 Candidate,,FALSE
2345525 Dataset,ddMM-yyyy American Community Survey HH-Year Estimates,TRUE
2345655 Data Source Caption,,FALSE
2346036 N. pol emesse (bin),mm,TRUE
2346111 # Borrowers Called Back in 1 month,dd,TRUE
2346111 # Evaluated in month,mm,TRUE
2346219 report_timestamp,<Unix>,TRUE
2346288 Date,MM/dd/yy,TRUE
2346423 Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,ss.SS,TRUE
2346490 Datatype,,FALSE
2347092 Candidate,,FALSE
2347138 Projected Date,MM/dd/yy,TRUE
2347272 Labor Add Time Paid Amt Before Tax,mmss.SS,TRUE
2347408 monthly salary E1 with 4 months,mmss.SS,TRUE
2347500 endtime,,FALSE
2347725 Staff Size Full-time (volunteer staff),MM,TRUE
2347756 Run Time,HHmmss.SS,TRUE
2347787 Month,"MMMM, yyyy",TRUE
2347877 ARRIVAL_DATE,dd/MM/yyyy HH:mm:ss,TRUE
2348715 Date Too,MM/dd/yyyy,TRUE
2348740 Month,yy,TRUE
2348806 State Start (Time),hh:mm a,TRUE
2349787 % of Games With Fights,ss.SS,TRUE
2349787 Games With More Than One Fight,MMyy,TRUE
2349910 message,,FALSE
2350134 Incidence Of Juvenile Crimes,MMyydd,TRUE
2350134 Total Cognizable Crimes Under IPC,yy,TRUE
2350371 YearMonth,yyyy MMMM,TRUE
2350444 Open data homepage and API,,FALSE
2351292 Lifetime Negative Feedback from Users,yy,TRUE
2351292 Lifetime Paid reach of a post by people who like your Page,ddMMyy,TRUE
2351292 Lifetime Post Consumers,MMyyyy,TRUE
2351292 Lifetime Post Paid Reach,ddMMyy,TRUE
2352203 avg_play_time,mmss.SS,TRUE
2352203 sess_play_time,yyyy,TRUE
2352607 ElecSoldTo,,FALSE
2352607 Expected Online Date,MM/dd/yyyy,TRUE
2353325 UserSignupDate,EEE MMM dd HH:mm:ss Z yyyy,TRUE
2353347 Date TC Aware of SE,MM/dd/yyyy,TRUE
2354574 Booking Create Date,yyyy-MM-dd,TRUE
2354574 Created By,,FALSE
2355035 3 trimestre 2013,ss.SS,TRUE
2355035 4 trimestre 2013,,FALSE
"2355357 Total; Estimate; Worked full-time, year-round in the past 12 months",MMyy,TRUE
"2355357 Total; Margin of Error; WORK EXPERIENCE - Worked full-time, year-round in the past 12 months",MMyy,TRUE
"2355357 Total; Margin of Error; Worked full-time, year-round in the past 12 months",MMyy,TRUE
2376718 Approval Date,,FALSE
2376718 Date Debt Svc Reserve Verified,HHmmss,TRUE
2376718 Date Insurance Bond Verified,,FALSE
2381523 TimeSum,mmss.SS,TRUE
2381562 Domestic credit to private sector by banks (% of GDP),ss.SS,TRUE
2381567 Prime Time,,FALSE
2381567 Time Slot,,FALSE
2381577 DateCreated,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 EarliestEndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 EarliestStartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 FHA_1_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 FHA_1_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 FHA_2_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 FHA_2_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 HOME_1_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 HOME_2_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 LatestEndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 LIHTC_1_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 LIHTC_1_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 LIHTC_2_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 LIHTC_2_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 REACScore1Date,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 REACScore2Date,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 RHS515_1_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 RHS515_1_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 RHS515_2_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 RHS515_2_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 RHS538_2_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 RHS538_2_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 S202_1_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 S202_1_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 S202_2_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 S202_2_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 S236_1_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 S236_1_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 S236_2_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 S236_2_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 S8_1_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 S8_1_StartDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381577 S8_2_EndDate,yyyy-MM-dd HH:mm:ss.SSSSSSS,TRUE
2381598 Agua_en_electrodomesticos,,FALSE
2381598 Cuenta_Animales_Dimesticos,,FALSE
2381598 Electrodomesticos,,FALSE
2381598 Otros_Animales_Domesticos,MM Aves,TRUE
2381598 Tipo_Animales_Domesticos,,FALSE
2381734 Final Time,mm:ss.S,TRUE
2381734 Time Back,mm:ss.S,TRUE
2381812 Projected Project Lifetime years,mm,TRUE
2381814 Sentiment Aspect,,FALSE
2381819 MONTHS,MMMM,TRUE
2381925 YearMonth,yyyy-MM,TRUE
2381995 Monthly_Trans,yy,TRUE
2381995 Monthly_Trans_Grps_Desc,,FALSE
2381995 predictedData,ss.SS,TRUE
2382003 Datei,,FALSE
2382022 Act Month Year,MMM-yyyy,TRUE
2382022 Act Month,MMMM,TRUE
2382254 Activity Report  Indicate approximately how much of your time was spent on it  (Conversion in W. hours),mm.ss,TRUE
2382254 Activity Report  Indicate approximately how much of your time was spent on it  (Value),MM Days,TRUE
2382254 Activity Report  Please give a brief description of how your time was broken down,,FALSE
2382254 advocacy strategies  Indicate approximately how much of your time was spent on it,yy,TRUE
2382254 Appeal  Indicate approximately how much of your time was spent on it  (Conversion in W. hours),mm.ss,TRUE
2382254 Appeal  Indicate approximately how much of your time was spent on it (Value),dd Minutes,TRUE
2382254 Appeal  Please give a brief description of how your time was broken down,,FALSE
2382254 Blog  Description of how your time was broken down,,FALSE
2382254 Blog  Indicate approximately how much of your time was spent on it (Conversion in W. hours),ss.SS,TRUE
2382254 Briefing Paper  Description of how your time was broken down,,FALSE
2382254 Briefing Paper  Indicate approximately how much of your time was spent on it  (Conversion in W. hours),mm.ss,TRUE
2382254 Briefing Paper  Indicate approximately how much of your time was spent on it (value),dd Days,TRUE
"2382254 conferences, round table discussions etc  In the last 12 months, how many events (conferences, round table discussions etc) did",dd,TRUE
2382254 Country Overview  Description of how your time was broken down,,FALSE
2382254 Country Overview  Indicate approximately how much of your time was spent on it  (Conversion in W. hours),mmss.SS,TRUE
2382254 Country Overview  Indicate approximately how much of your time was spent on it (value),dd Days,TRUE
2382254 Country report or publication  Indicate approximately how much of your time was spent on it  (Conversion in W. hours),ss.SS,TRUE
2382254 Country report or publication  Indicate approximately how much of your time was spent on it (Value),mm Days,TRUE
2382254 Country report or publication  Please give a brief description of how your time was broken down,,FALSE
2382254 Global Estimates  Indicate approximately how much of your time was spent on it  (Conversion in W. hours),mm.ss,TRUE
2382254 Global Estimates  Indicate approximately how much of your time was spent on it (Value),MM Days,TRUE
2382254 Global Estimates  Please give a brief description of how your time was broken down,,FALSE
2382254 Global Overview  Indicate approximately how much of your time was spent on it  (Conversion in W. hours),mmss.SS,TRUE
2382254 Global Overview  Indicate approximately how much of your time was spent on it  (Value),mm Days,TRUE
2382254 Global Overview  Please give a brief description of how your time was broken down,,FALSE
2382254 HR Mechanism  Indicate approximately how much of your time was spent on it (value),dd Hours,TRUE
2382254 HR Mechanism  Please give a brief description of how your time was broken down,,FALSE
"2382254 IDP Figures Update  Level 1 In the last 12 months, please indicate how often (approximately) you have updated your figures for ",dd,TRUE
"2382254 IDP Figures Update Level 3 In the last 12 months, please indicate how often (approximately) you have updated your figures for t",dd,TRUE
"2382254 Quarterly Update  For authors, approximately, what % of this report used information gleaned from a research mission ",ss.SS,TRUE
2382254 Quarterly Update  Indicate approximately how much of your time was spent on it  (Conversion in W. hours),ss.SS,TRUE
2382254 Quarterly Update  Please give a brief description of how your time was broken down,,FALSE
2382254 Quarterly Update,ss.SS,TRUE
2382254 Research or training mission  How much time did you spend on the follow-up  (Value),MM Days,TRUE
2382254 Research or training mission  Indicate approximately how much of your time was spent on it  (Conversion in W. hours),mm.ss,TRUE
2382254 Research or training mission  Indicate approximately how much of your time was spent on it (Value),dd Days,TRUE
2382254 Research Paper  Indicate approximately how much of your time was spent on it  (Conversion in W. hours),mm.ss,TRUE
2382254 Research Paper  Indicate approximately how much of your time was spent on it  (Value),MM Hours,TRUE
2382254 Research Paper  Please give a brief description of how your time was broken down,,FALSE
2382254 Training Report Workshop  Indicate approximately how much of your time was spent on it  (Conversion in W. hours),ss.SS,TRUE
2382254 Training Report Workshop  Indicate approximately how much of your time was spent on it 4,MM Days,TRUE
2382254 Training Report Workshop  Please give a brief description of how your time was broken down,,FALSE
2382254 Unique Visitors Per Month,MMyyyy,TRUE
2382277 Month,ss.SS,TRUE
2382277 MonthlyCost,mmss.SS,TRUE
2382305 avgTimeOnPage,"mmss,SSSSS",TRUE
2382305 timeOnPage,"mmss,S",TRUE
2382306 Download Date (PST),MM/dd/yyyy,TRUE
2382366 Fechas,yyyy,TRUE
2382453 Candidate First Last Name,,FALSE
2382465 Data,yy,TRUE
2382470 Month,MM/dd/yyyy,TRUE
2382502 AssignedTo,,FALSE
2382529 TWEETTIMESTAMP,,FALSE
"2382545  Timestamp , Vor- und Nachname  , 1. An welchen Wochentagen arbeiten Sie normalerweise in der Sophienstr.  , 2. Wo arbeiten Sie",,FALSE
2382553 Clearing Date,dd.MM.yyyy,TRUE
2382553 Doc. Date,dd.MM.yyyy,TRUE
2382553 Due date vs receive,,FALSE
2382553 Due Date,dd.MM.yyyy,TRUE
2382553 Entered Date,dd.MM.yyyy,TRUE
"2382553 Explanation (Received on time, paid not on time)",dd,TRUE
2382553 Invoice Completion Date,dd.MM.yyyy,TRUE
2382553 Invoice Creation Date,dd.MM.yyyy,TRUE
2382553 Invoice Date,dd.MM.yyyy,TRUE
2382553 Invoice Date2,MM/dd/yyyy,TRUE
2382553 paid on time ,,FALSE
2382553 Paid on time1,,FALSE
2382553 Posted Date,dd.MM.yyyy,TRUE
2382553 Received on time,,FALSE
2382553 Received on time1,,FALSE
2382639 worked full-time,HH.mm,TRUE
2382639 worked part-time,HH.mm,TRUE
2382657 Date,yyyy,TRUE
2382804 Candidate,,FALSE
2382861 Actual Close Date,MM/dd/yyyy,TRUE
2382861 First Proposal Sent Date,MM/dd/yyyy,TRUE
2382861 Open Date,MM/dd/yyyy,TRUE
2382871 DATA_NASCIMENTO,dd/MM/yyyy,TRUE
2382871 IDADE_DATA_ELEICAO,yy,TRUE
2382960 Data,yy.MM,TRUE
2382989 Full-time adjusted fall 2011 cohort,mmss,TRUE
2382989 Full-time retention rate  2012,yy,TRUE
2382989 Part-time retention rate  2012,yy,TRUE
2382989 Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012,mmss,TRUE
2382989 Students from the part-time adjusted fall 2011 cohort enrolled in fall 2012,mm,TRUE
2383260 Data Level,,FALSE
2383357 BEH  Time Competency,yy,TRUE
2383357 DEM  Tenure in Months,yy,TRUE
2383364 MES,MMM-yy,TRUE
2383403 Fecha cancelaciÃ_Â€ÂŒÃ«_n OC,dd-MMM-yyyy,TRUE
2383403 Vendor Lead time,mm,TRUE
2383436 Data processing and other purchased computer services ($1 000),mmss,TRUE
2383473 deposited - timestamp,<Unix ms>,TRUE
